Italian,English,Success,Total
"rostro, cara",face,3,4
nunca,never,4,6
llenar,to fill,3,6
intentar,to attempt,3,8
espalda,back,2,8
cruzar,to cross,4,8
mañana,morning,1,1
de golpe,suddenly,0,1
de hecho,in fact,0,1
apellido,surname,0,1
flexiones,push-ups,0,1
"afuera, fuera",outside,1,1
obras,works (noun),1,1
suponer ,to suppose ,4,9
ley,law,2,3
hasta,until,1,3
señalar,to signal,2,5
techo,ceiling,3,7
fianco,"side, flank",0,1
decir,to say,2,3
llover,to rain,1,3
collina,hill,1,1
"acarrear, transportar","to carry, to transport",1,1
introducir,to introduce ,3,5
sueño,dream,3,5
siguiente,next,1,3
fácil,easy,2,3
doloroso,painful,2,3
lado,side,1,1
espantosamente,frightfully,1,1
reloj,clock,1,1
papel,paper,1,1
entre,between,3,5
cartas,letters,2,3
peligro,danger,2,3
pagar ,"to pay, pay for ",3,3
enseguida,at once,0,1
alrededor,around,1,1
entender,to understand,1,1
mirada,a look,0,1
lugar,a place,1,1
ventana,window,1,1
sentir,to feel,1,1
más,more,1,1
por qué,why,1,1
hermano,brother,1,1
buscar,to look for,1,1
sin,without,3,3
temblor,tremor,4,6
alivio,relief,4,6
justo,right (i.e. is that right),2,4
deslizar,to slide,1,4
llorar,to cry,2,4
suelo,ground,2,4
golpear,to hit,2,4
alli,there,2,4
convertir ,"to convert, change ",2,4
añadir,to add (as in conversation),0,2
enhorabuena,congratulations,5,9
mayor,"higher, major, older",2,2
descargar,to download,1,2
opinar,"to think, to be of the opinion",2,2
deber,to ought to/should,2,2
enviar,to send,2,2
cabeza,head,2,2
leer,to read,2,2
tomar,to take,2,2
"ser, estar",to be,2,2
sucio,dirty,2,2
menos,less,2,2
caer ,to fall ,1,2
tercero,third,2,2
perder,to lose,2,2
mucho,many,2,2
explicar ,to explain ,2,2
viejo,old,2,2
intentar ,"to try, attempt ",2,2
preguntar,to ask,1,2
horno,oven,2,2
llevar,to carry,2,2
llamar,to call,2,2
ayudar ,to help ,2,2
coche,car,2,2
peor,worse,2,2
correr ,to run ,2,2
habitación,room,2,2
cama,bed,2,2
comportarse,to behave,2,2
bastar,to be enough,2,2
tener,to have,2,2
siempre,always,2,2
pero,but,2,2
noche,night,2,2
recibir,to receive,1,2
salir,"to leave, to go out",2,2
riesgo,a risk,2,5
aquí,here,3,5
ya,already,2,5
delgado,thin,0,0
limpio,clean,0,0
huéspedes,guests,0,0
hueca,"empty, hollow",0,0
timbre,bell,0,0
traer ,to bring,3,5
fue,it was,0,0
basura,trash,0,0
avanzar,to advance,0,0
llaves,keys,0,0
naranja,orange,0,0
"flojo, perizoso",lazy,0,0
oler,to smell,0,0
caro,expensive,0,0
apresurada,hasty,0,0
tienda,a store,0,0
exito,success,0,0
hablar,to speak,3,3
ganar ,to win,2,3
contestar,to answer,2,3
estar al tanto,to be aware,0,3
detener,"to detain, to stop",2,3
aburrido,boring,2,3
derecho,right (i.e. turn right),3,3
preguntar ,"to ask, inquire ",2,3
escuchar ,"to listen, hear ",3,3
quien,who,2,3
sudor,sweat,2,3
formar ,"to form, shape, fashion, make ",2,3
"acabado, finito",finished,3,3
"vigilar, ver",to watch,3,3
"poner, meter","to put, to place",3,3
quizá,perhaps,2,3
cerrar,to close,3,3
periódicos,newspapers,4,6
viajar,to travel,1,1
"ira, enfado",anger,0,1
polvo,"dust, powder",1,1
curiosear,to snoop,1,1
juntos,together,1,1
tarta,cake,0,1
gruñón,grumpy,0,1
levantar ,"to raise, to lift ",3,4
espejo,mirror,0,1
callado,silent,0,1
gafas,glasses,1,1
hay,"there is, there are",1,1
creer,to believe,1,1
gato,cat,1,1
perro,dog,1,1
aceptar ,"to accept, approve, to agree to ",1,1
ofrecer ,to offer ,2,4
preocuparse,to worry,3,4
pedir,"to ask for, to request",4,4
camisa,shirt,0,1
largo,long,1,1
dar ,to give,1,1
si,if,1,1
chillar,to shriek,2,4
mejor,better,3,4
enfadarse,to get angry with,3,4
necesitar,to need,4,4
adivinar,to guess,1,1
hecho,done,1,1
desde,from,1,1
este,this,3,5
servir ,to serve ,3,5
terminar,"to finish, to end",0,2
todo,all,2,2
verdad,truth,2,2
aprender,to learn,2,2
jugar ,to play (a game or sport) ,1,2
subir,"to rise, to go up",1,2
resultar ,to turn out (to be) ,2,2
comprender ,"to understand, comprehend ",2,2
nacer ,to be born ,1,2
encontrar,to find,1,2
reír,to laugh,2,2
abrir ,to open ,2,2
querer,"to want, to love",2,2
vivir,to live,2,2
oír,to hear,2,2
seguir,"to follow, to continue",2,2
crear ,"to create, to make ",1,2
gustar ,"to please, be pleasing ",2,2
usar ,to use ,2,2
venir,to come,2,2
considerar ,to consider ,2,2
mirar,to look at,2,2
ojos,eyes,2,2
hermana,sister,2,2
pensar,to think,2,2
conocer,"to know (people, places)",2,2
sombra,shadow,2,2
estudiar ,to study ,2,2
mantener ,"to maintain, get ",2,2
recordarse,to remember,3,3
igual,equal,3,3
quando,when,3,3
después,after,2,3
de nuevo,again,2,3
entrar,to enter,3,3
acercar,to get close,3,4
franqueza,frankness,2,4
muchacho,boy,3,4
extraño,strange,3,4
sin querer,unintentionally,0,0
fría,cold,0,0
cercano,close (proximity),0,0
fijo,fixed,0,0
fenomenal,phenomenal,0,0
jueves,Thursday,0,0
manchada,"spotted, stained",0,0
fecha,date,0,0
mar,"sea, ocean",0,0
"disimular, ocultar","cover, hide",0,0
equipo,team,0,0
clave,key,0,0
pistas,clues,0,0
martes,Tuesday,1,1
sandia,watermelon,1,1
hermoso,beautiful,1,1
primero,first,1,1
donde,where,1,1
antes de,before,1,1
listo,ready,1,1
escoba,broom,1,2
cerradura,a lock,2,2
escribir,to write,2,2
"conseguir , obtener, sacar","to get, obtain ",2,2
ruido,noise,2,2
ir,to go,2,2
morir ,to die ,2,2
mundo,world,3,3
a través,across,3,3
cambiar ,to change ,3,3
malo,bad,2,2
esperar,to hope,2,2
hacer,"to do, to make",1,1
pared,wall,2,2
pequeño,small,2,2
manzana,apple,0,0
demás,the rest,0,0
"someone, whoever",alguien,3,6
"each, any, some",cada,4,5
casi,almost,4,8
dejar,to let,3,3
soon,"temprano, pronto",0,1
"ese, aquel, que",that,5,6
"pues, entonces",then,3,7
"regresar, volver",to return,3,8
según,according to,0,0
rato,a while,0,0
desarrollar,to develop,0,0
ademas,"further, also",0,0
